zip,year,est total,est gen,est cold,est farm,est other
96016,2012,0,0,0,0,0
93563,2012,0,0,0,0,0
90650,2012,4,3,1,0,0
95758,2012,3,3,0,0,0
94115,2012,0,0,0,0,0
94131,2012,0,0,0,0,0
92011,2012,2,1,1,0,0
95449,2012,0,0,0,0,0
93042,2012,0,0,0,0,0
95655,2012,0,0,0,0,0
96052,2012,0,0,0,0,0
90742,2012,0,0,0,0,0
92518,2012,3,3,0,0,0
92708,2012,0,0,0,0,0
95934,2012,0,0,0,0,0
95315,2012,0,0,0,0,0
90270,2012,0,0,0,0,0
96143,2012,0,0,0,0,0
92061,2012,0,0,0,0,0
91764,2012,2,2,0,0,0
90744,2012,7,3,3,0,1
92521,2012,0,0,0,0,0
94595,2012,0,0,0,0,0
90747,2012,0,0,0,0,0
93906,2012,0,0,0,0,0
92397,2012,1,0,1,0,0
94603,2012,2,1,0,0,1
92504,2012,0,0,0,0,0
92571,2012,2,1,0,0,1
92311,2012,1,1,0,0,0
92316,2012,5,3,1,0,1
90036,2012,1,0,0,0,1
94063,2012,3,3,0,0,0
93286,2012,0,0,0,0,0
93622,2012,0,0,0,0,0
95864,2012,1,1,0,0,0
94027,2012,0,0,0,0,0
95222,2012,0,0,0,0,0
90010,2012,1,1,0,0,0
92882,2012,0,0,0,0,0
95354,2012,2,1,1,0,0
90504,2012,1,1,0,0,0
96088,2012,0,0,0,0,0
94930,2012,0,0,0,0,0
92845,2012,0,0,0,0,0
95207,2012,0,0,0,0,0
95826,2012,1,0,0,0,1
91360,2012,0,0,0,0,0
93405,2012,0,0,0,0,0
92840,2012,1,1,0,0,0
93953,2012,0,0,0,0,0
95693,2012,0,0,0,0,0
95991,2012,0,0,0,0,0
90712,2012,0,0,0,0,0
90290,2012,0,0,0,0,0
95358,2012,3,3,0,0,0
92382,2012,0,0,0,0,0
95017,2012,0,0,0,0,0
93022,2012,0,0,0,0,0
92407,2012,4,4,0,0,0
91724,2012,0,0,0,0,0
93656,2012,0,0,0,0,0
90670,2012,33,28,0,0,5
94611,2012,1,0,0,0,1
94025,2012,2,1,0,0,1
95002,2012,0,0,0,0,0
92626,2012,0,0,0,0,0
91942,2012,0,0,0,0,0
91710,2012,23,19,0,0,4
90502,2012,2,2,0,0,0
92126,2012,4,4,0,0,0
92078,2012,2,1,0,0,1
93203,2012,1,0,1,0,0
