zip,year,est total,est gen,est cold,est farm,est other
338,92008,2014,0,0,0,0,0
339,96044,2014,0,0,0,0,0
340,92551,2014,4,4,0,0,0
341,91030,2014,0,0,0,0,0
342,95548,2014,0,0,0,0,0
343,92118,2014,0,0,0,0,0
344,91902,2014,0,0,0,0,0
345,92679,2014,0,0,0,0,0
346,93638,2014,0,0,0,0,0
347,92345,2014,0,0,0,0,0
348,90041,2014,0,0,0,0,0
349,93271,2014,0,0,0,0,0
350,91792,2014,0,0,0,0,0
351,93710,2014,0,0,0,0,0
352,95129,2014,0,0,0,0,0
353,95010,2014,0,0,0,0,0
354,93501,2014,0,0,0,0,0
355,94303,2014,0,0,0,0,0
356,95623,2014,0,0,0,0,0
357,95051,2014,1,1,0,0,0
358,90254,2014,1,1,0,0,0
359,95369,2014,0,0,0,0,0
360,92203,2014,0,0,0,0,0
361,91775,2014,0,0,0,0,0
362,93720,2014,0,0,0,0,0
363,92868,2014,0,0,0,0,0
364,96022,2014,0,0,0,0,0
365,94404,2014,0,0,0,0,0
366,90032,2014,1,0,0,1,0
367,95436,2014,0,0,0,0,0
368,90065,2014,1,1,0,0,0
369,91784,2014,0,0,0,0,0
370,94533,2014,0,0,0,0,0
371,95018,2014,1,0,0,0,1
372,91367,2014,0,0,0,0,0
373,95117,2014,1,1,0,0,0
374,92673,2014,0,0,0,0,0
375,93544,2014,0,0,0,0,0
376,96056,2014,0,0,0,0,0
377,92211,2014,1,1,0,0,0
378,96035,2014,0,0,0,0,0
379,92584,2014,0,0,0,0,0
380,93265,2014,0,0,0,0,0
381,94010,2014,3,3,0,0,0
382,91739,2014,1,1,0,0,0
383,92337,2014,16,14,0,0,2
384,95427,2014,0,0,0,0,0
385,92508,2014,3,3,0,0,0
386,92281,2014,0,0,0,0,0
387,95685,2014,0,0,0,0,0
388,91108,2014,0,0,0,0,0
389,93306,2014,0,0,0,0,0
390,95210,2014,0,0,0,0,0
391,93021,2014,2,2,0,0,0
392,94536,2014,0,0,0,0,0
393,92243,2014,0,0,0,0,0
394,92020,2014,1,1,0,0,0
395,91766,2014,6,5,0,0,1
396,92104,2014,0,0,0,0,0
397,92003,2014,0,0,0,0,0
398,91204,2014,1,1,0,0,0
399,93510,2014,0,0,0,0,0
400,96016,2014,0,0,0,0,0
401,93563,2014,0,0,0,0,0
402,90650,2014,4,3,1,0,0
403,95758,2014,3,3,0,0,0
404,94115,2014,0,0,0,0,0
405,94131,2014,0,0,0,0,0
406,92011,2014,2,1,1,0,0
407,95449,2014,0,0,0,0,0
408,93042,2014,0,0,0,0,0
409,95655,2014,0,0,0,0,0
410,96052,2014,0,0,0,0,0
411,90742,2014,0,0,0,0,0
412,92518,2014,3,3,0,0,0
413,92708,2014,0,0,0,0,0
414,95934,2014,0,0,0,0,0
415,95315,2014,0,0,0,0,0
416,90270,2014,0,0,0,0,0
417,96143,2014,0,0,0,0,0
418,92061,2014,0,0,0,0,0
419,91764,2014,8,8,0,0,0
420,90744,2014,8,3,3,0,2
421,92521,2014,0,0,0,0,0
422,94595,2014,0,0,0,0,0
423,90747,2014,0,0,0,0,0
424,93906,2014,0,0,0,0,0
425,92397,2014,2,0,2,0,0
426,94603,2014,2,2,0,0,0
427,92504,2014,0,0,0,0,0
428,92571,2014,5,4,0,0,1
429,92311,2014,0,0,0,0,0
430,92316,2014,3,2,1,0,0
431,90036,2014,1,0,0,0,1
432,94063,2014,2,1,0,0,1
433,93286,2014,0,0,0,0,0
434,93622,2014,0,0,0,0,0
435,95864,2014,1,1,0,0,0
436,94027,2014,0,0,0,0,0
437,95222,2014,0,0,0,0,0
438,90010,2014,0,0,0,0,0
439,92882,2014,0,0,0,0,0
440,95354,2014,2,1,1,0,0
441,90504,2014,1,1,0,0,0
442,96088,2014,0,0,0,0,0
443,94930,2014,0,0,0,0,0
444,92845,2014,0,0,0,0,0
445,95207,2014,0,0,0,0,0
446,95826,2014,3,2,0,0,1
447,91360,2014,0,0,0,0,0
448,93405,2014,0,0,0,0,0
449,92840,2014,1,1,0,0,0
450,93953,2014,0,0,0,0,0
451,95693,2014,0,0,0,0,0
452,95991,2014,1,1,0,0,0
453,90712,2014,1,1,0,0,0
454,90290,2014,0,0,0,0,0
455,95358,2014,4,4,0,0,0
456,92382,2014,0,0,0,0,0
457,95017,2014,0,0,0,0,0
458,93022,2014,0,0,0,0,0
459,92407,2014,3,3,0,0,0
460,91724,2014,0,0,0,0,0
461,93656,2014,0,0,0,0,0
462,90670,2014,32,28,0,0,4
463,94611,2014,1,0,0,0,1
464,94025,2014,3,3,0,0,0
465,95002,2014,0,0,0,0,0
466,92626,2014,0,0,0,0,0
467,91942,2014,0,0,0,0,0
468,91710,2014,28,25,0,0,3
469,90502,2014,0,0,0,0,0
470,92126,2014,4,4,0,0,0
471,92078,2014,2,1,0,0,1
472,93203,2014,1,0,1,0,0
473,91752,2014,38,35,2,0,1
474,90250,2014,1,1,0,0,0
475,94014,2014,0,0,0,0,0
476,93268,2014,1,1,0,0,0
477,95209,2014,0,0,0,0,0
478,92553,2014,1,1,0,0,0
479,94534,2014,5,5,0,0,0
480,95926,2014,2,2,0,0,0
481,93653,2014,0,0,0,0,0
482,94704,2014,0,0,0,0,0
483,94305,2014,0,0,0,0,0
484,95762,2014,2,2,0,0,0
485,95692,2014,0,0,0,0,0
486,90603,2014,1,1,0,0,0
487,94304,2014,0,0,0,0,0
488,95301,2014,0,0,0,0,0
489,95672,2014,0,0,0,0,0
490,92284,2014,0,0,0,0,0
491,94061,2014,0,0,0,0,0
492,93065,2014,2,2,0,0,0
493,92831,2014,3,2,0,1,0
494,92832,2014,0,0,0,0,0
495,93311,2014,1,0,0,1,0
496,95003,2014,0,0,0,0,0
497,95939,2014,0,0,0,0,0
498,93242,2014,0,0,0,0,0
499,91020,2014,0,0,0,0,0
500,90703,2014,7,4,0,0,3
501,95816,2014,0,0,0,0,0
502,94708,2014,0,0,0,0,0
503,95446,2014,0,0,0,0,0
504,92688,2014,0,0,0,0,0
505,94705,2014,0,0,0,0,0
506,92562,2014,0,0,0,0,0
507,95466,2014,0,0,0,0,0
508,94108,2014,1,1,0,0,0
509,92336,2014,7,7,0,0,0
510,95815,2014,4,4,0,0,0
511,95823,2014,5,4,1,0,0
512,94601,2014,1,1,0,0,0
513,92134,2014,0,0,0,0,0
