,zip,year,est total,est gen,est cold,est farm,est other
638,94903,2012,0,0,0,0,0
639,93066,2012,0,0,0,0,0
640,91205,2012,0,0,0,0,0
641,92129,2012,0,0,0,0,0
642,90211,2012,0,0,0,0,0
643,94613,2012,0,0,0,0,0
644,96025,2012,0,0,0,0,0
645,91914,2012,1,1,0,0,0
646,95526,2012,0,0,0,0,0
647,92843,2012,0,0,0,0,0
648,94520,2012,2,1,0,0,1
649,93110,2012,0,0,0,0,0
650,92869,2012,1,1,0,0,0
651,94539,2012,3,1,1,0,1
652,93206,2012,0,0,0,0,0
653,91206,2012,0,0,0,0,0
654,93422,2012,1,1,0,0,0
655,94130,2012,0,0,0,0,0
656,93543,2012,0,0,0,0,0
657,94610,2012,0,0,0,0,0
658,91913,2012,0,0,0,0,0
659,91411,2012,0,0,0,0,0
660,91008,2012,0,0,0,0,0
661,94019,2012,0,0,0,0,0
662,96097,2012,0,0,0,0,0
663,93555,2012,1,1,0,0,0
664,95206,2012,13,11,1,0,1
665,90501,2012,7,7,0,0,0
666,94306,2012,0,0,0,0,0
667,93648,2012,0,0,0,0,0
668,90305,2012,0,0,0,0,0
669,94941,2012,0,0,0,0,0
670,91326,2012,0,0,0,0,0
671,91733,2012,0,0,0,0,0
672,90232,2012,1,1,0,0,0
673,90605,2012,1,1,0,0,0
674,95311,2012,0,0,0,0,0
675,92399,2012,0,0,0,0,0
676,95030,2012,0,0,0,0,0
677,92782,2012,0,0,0,0,0
678,90007,2012,0,0,0,0,0
679,95608,2012,2,2,0,0,0
680,93730,2012,0,0,0,0,0
681,93453,2012,0,0,0,0,0
682,90026,2012,0,0,0,0,0
683,93644,2012,1,1,0,0,0
684,92065,2012,0,0,0,0,0
685,92116,2012,0,0,0,0,0
686,90606,2012,2,2,0,0,0
687,93616,2012,1,1,0,0,0
688,94546,2012,1,0,0,0,1
689,95118,2012,0,0,0,0,0
690,93241,2012,0,0,0,0,0
691,91770,2012,1,1,0,0,0
692,92505,2012,2,2,0,0,0
693,91776,2012,0,0,0,0,0
694,93454,2012,2,1,1,0,0
695,92145,2012,0,0,0,0,0
696,91203,2012,0,0,0,0,0
697,91935,2012,0,0,0,0,0
698,96122,2012,0,0,0,0,0
699,93212,2012,2,0,0,2,0
700,93704,2012,0,0,0,0,0
701,94598,2012,0,0,0,0,0
702,92604,2012,0,0,0,0,0
703,93426,2012,0,0,0,0,0
704,92555,2012,1,1,0,0,0
705,92082,2012,0,0,0,0,0
706,95360,2012,0,0,0,0,0
707,92395,2012,1,1,0,0,0
708,95641,2012,0,0,0,0,0
709,95811,2012,0,0,0,0,0
710,94519,2012,0,0,0,0,0
711,95912,2012,0,0,0,0,0
712,94949,2012,1,0,0,0,1
713,94065,2012,0,0,0,0,0
714,95320,2012,1,0,0,1,0
715,95231,2012,1,1,0,0,0
716,92225,2012,0,0,0,0,0
717,94062,2012,0,0,0,0,0
718,94515,2012,0,0,0,0,0
719,95824,2012,1,0,0,0,1
720,91765,2012,0,0,0,0,0
721,91906,2012,0,0,0,0,0
722,91741,2012,0,0,0,0,0
723,90701,2012,0,0,0,0,0
724,92617,2012,1,0,0,0,1
725,96114,2012,0,0,0,0,0
726,93004,2012,0,0,0,0,0
727,91302,2012,0,0,0,0,0
728,95303,2012,0,0,0,0,0
729,91107,2012,0,0,0,0,0
730,94579,2012,0,0,0,0,0
731,94583,2012,0,0,0,0,0
732,92647,2012,3,3,0,0,0
733,93312,2012,0,0,0,0,0
734,95665,2012,0,0,0,0,0
735,95610,2012,0,0,0,0,0
736,96041,2012,0,0,0,0,0
737,94121,2012,0,0,0,0,0
738,95664,2012,0,0,0,0,0
739,94129,2012,0,0,0,0,0
740,92026,2012,0,0,0,0,0
741,94805,2012,0,0,0,0,0
