zip,year,est total,est gen,est cold,est farm,est other
92586,2019,0,0,0,0,0
95404,2019,0,0,0,0,0
91906,2019,0,0,0,0,0
93010,2019,0,0,0,0,0
91604,2019,0,0,0,0,0
91977,2019,0,0,0,0,0
95230,2019,0,0,0,0,0
93644,2019,0,0,0,0,0
90814,2019,0,0,0,0,0
96007,2019,0,0,0,0,0
92549,2019,0,0,0,0,0
95551,2019,0,0,0,0,0
95690,2019,0,0,0,0,0
93955,2019,0,0,0,0,0
94111,2019,0,0,0,0,0
95403,2019,8,5,0,0,0
95912,2019,0,0,0,0,0
93960,2019,0,0,0,0,0
95917,2019,0,0,0,0,0
95045,2019,0,0,0,0,0
94619,2019,0,0,0,0,0
91367,2019,0,0,0,0,0
93311,2019,0,0,0,0,0
92660,2019,0,0,0,0,0
91104,2019,0,0,0,0,0
90068,2019,0,0,0,0,0
95335,2019,0,0,0,0,0
95624,2019,4,4,0,0,0
93401,2019,0,0,0,0,0
92115,2019,0,0,0,0,0
92359,2019,0,0,0,0,0
95492,2019,3,0,0,0,0
93003,2019,0,0,0,0,0
93591,2019,0,0,0,0,0
92532,2019,0,0,0,0,0
92886,2019,0,0,0,0,0
90732,2019,0,0,0,0,0
93436,2019,0,0,0,0,0
95422,2019,0,0,0,0,0
92027,2019,0,0,0,0,0
95685,2019,0,0,0,0,0
93930,2019,0,0,0,0,0
94403,2019,0,0,0,0,0
95618,2019,0,0,0,0,0
90630,2019,3,0,0,0,0
93312,2019,0,0,0,0,0
95501,2019,0,0,0,0,0
92058,2019,0,0,0,0,0
94550,2019,11,8,0,0,3
93926,2019,0,0,0,0,0
95616,2019,3,3,0,0,0
91387,2019,0,0,0,0,0
94558,2019,12,8,0,0,0
92055,2019,0,0,0,0,0
93066,2019,0,0,0,0,0
95659,2019,0,0,0,0,0
94536,2019,0,0,0,0,0
94043,2019,0,0,0,0,0
95051,2019,0,0,0,0,0
94530,2019,0,0,0,0,0
91364,2019,0,0,0,0,0
94952,2019,0,0,0,0,0
95987,2019,7,7,0,0,0
92869,2019,0,0,0,0,0
93516,2019,0,0,0,0,0
95692,2019,0,0,0,0,0
96013,2019,0,0,0,0,0
94109,2019,0,0,0,0,0
92040,2019,0,0,0,0,0
92883,2019,3,3,0,0,0
94133,2019,0,0,0,0,0
92026,2019,0,0,0,0,0
92028,2019,0,0,0,0,0
90720,2019,0,0,0,0,0
92637,2019,0,0,0,0,0
94610,2019,0,0,0,0,0
93111,2019,0,0,0,0,0
91214,2019,0,0,0,0,0
91775,2019,0,0,0,0,0
95669,2019,0,0,0,0,0
95831,2019,3,3,0,0,0
92584,2019,0,0,0,0,0
95687,2019,0,0,0,0,0
90505,2019,0,0,0,0,0
94611,2019,0,0,0,0,0
91423,2019,0,0,0,0,0
93063,2019,0,0,0,0,0
94531,2019,0,0,0,0,0
95138,2019,0,0,0,0,0
92057,2019,0,0,0,0,0
92234,2019,0,0,0,0,0
94030,2019,0,0,0,0,0
91362,2019,0,0,0,0,0
94115,2019,0,0,0,0,0
95327,2019,0,0,0,0,0
90036,2019,0,0,0,0,0
93927,2019,0,0,0,0,0
92145,2019,0,0,0,0,0
95742,2019,0,0,0,0,0
95521,2019,0,0,0,0,0
90277,2019,0,0,0,0,0
93225,2019,0,0,0,0,0
92561,2019,0,0,0,0,0
91301,2019,0,0,0,0,0
90405,2019,0,0,0,0,0
